word,neg,neu,pos,compound,sentiment_cat
conservative,0.0,1.0,0.0,0.0,3
considerate,0.0,0.0,1.0,0.4404,5
consistent,0.0,1.0,0.0,0.0,3
consolatory,0.0,1.0,0.0,0.0,3
consoling,0.0,1.0,0.0,0.0,3
conspicuous,0.0,1.0,0.0,0.0,3
conspiring,0.0,1.0,0.0,0.0,3
constant,0.0,1.0,0.0,0.0,3
constrained,1.0,0.0,0.0,-0.1027,2
constructive,0.0,1.0,0.0,0.0,3
contained,0.0,1.0,0.0,0.0,3
contemplative,0.0,1.0,0.0,0.0,3
contemptuous,1.0,0.0,0.0,-0.4939,1
contented,0.0,0.0,1.0,0.34,4
contentious,1.0,0.0,0.0,-0.296,2
contradictious,1.0,0.0,0.0,-0.4404,1
contradictory,1.0,0.0,0.0,-0.34,2
contrary,0.0,1.0,0.0,0.0,3
contrary-minded,0.0,1.0,0.0,0.0,3
controlled,0.0,1.0,0.0,0.0,3
controlling,0.0,1.0,0.0,0.0,3
controversial,1.0,0.0,0.0,-0.2023,2
conventional,0.0,1.0,0.0,0.0,3
conversational,0.0,1.0,0.0,0.0,3
convincing,0.0,0.0,1.0,0.4019,5
convivial,0.0,0.0,1.0,0.296,4
cool,0.0,0.0,1.0,0.3182,4
cool-headed,0.0,1.0,0.0,0.0,3
cooperative,0.0,1.0,0.0,0.0,3
coquettish,0.0,1.0,0.0,0.0,3
cordial,0.0,1.0,0.0,0.0,3
corrective,0.0,1.0,0.0,0.0,3
corrupt,0.0,1.0,0.0,0.0,3
corruptible,0.0,1.0,0.0,0.0,3
cosmopolitan,0.0,1.0,0.0,0.0,3
counselable,0.0,1.0,0.0,0.0,3
courageous,0.0,0.0,1.0,0.5267,5
courteous,0.0,0.0,1.0,0.5106,5
courtly,0.0,1.0,0.0,0.0,3
covetous,0.0,1.0,0.0,0.0,3
cowardly,1.0,0.0,0.0,-0.3818,2
coy,0.0,1.0,0.0,0.0,3
crabby,0.0,1.0,0.0,0.0,3
crafty,0.0,1.0,0.0,0.0,3
cranky,0.0,1.0,0.0,0.0,3
crass,0.0,1.0,0.0,0.0,3
craven,0.0,1.0,0.0,0.0,3
crazed,1.0,0.0,0.0,-0.128,2
crazy,1.0,0.0,0.0,-0.34,2
creative,0.0,0.0,1.0,0.4404,5
credible,0.0,1.0,0.0,0.0,3
credulous,0.0,1.0,0.0,0.0,3
critical,1.0,0.0,0.0,-0.3182,2
crooked,0.0,1.0,0.0,0.0,3
crotchety,0.0,1.0,0.0,0.0,3
