image,quadrant,skincolor,gender_woman,gender_man,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,occ_code,a_median,norm_title,wage_cat,wage_val
HerculePoirot_a_agricultural_technician_photorealistic_c1657b9c-50ed-44d6-acee-51cf4c7a7b21,0,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
HerculePoirot_a_agricultural_technician_photorealistic_c1657b9c-50ed-44d6-acee-51cf4c7a7b21,1,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
HerculePoirot_a_agricultural_technician_photorealistic_c1657b9c-50ed-44d6-acee-51cf4c7a7b21,2,"(159.4690909090909, 111.92, 87.22545454545454)",66.66666666666667,33.33333333333333,a agricultural technician photorealistic,3,man,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
HerculePoirot_a_agricultural_technician_photorealistic_c1657b9c-50ed-44d6-acee-51cf4c7a7b21,3,"(162.48955916473318, 128.38979118329468, 107.89559164733178)",66.66666666666667,33.33333333333333,a agricultural technician photorealistic,3,man,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
kylesoto_a_agricultural_technician_photorealistic_5c9a689a-9e0f-4dfb-a2ba-a7249f954eaf,0,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
kylesoto_a_agricultural_technician_photorealistic_5c9a689a-9e0f-4dfb-a2ba-a7249f954eaf,1,"(192.1156462585034, 140.07673469387754, 112.42721088435374)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
kylesoto_a_agricultural_technician_photorealistic_5c9a689a-9e0f-4dfb-a2ba-a7249f954eaf,2,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
kylesoto_a_agricultural_technician_photorealistic_5c9a689a-9e0f-4dfb-a2ba-a7249f954eaf,3,"(158.2533703818051, 128.6116085211485, 119.50200679221982)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vntran_a_agricultural_technician_photorealistic_0ce8f14e-e363-4295-b0be-ebd594b05ac0,0,"(164.04326923076923, 135.72115384615384, 111.25)",11.111111111111116,88.8888888888889,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vntran_a_agricultural_technician_photorealistic_0ce8f14e-e363-4295-b0be-ebd594b05ac0,1,"(171.7237269772481, 136.98591549295776, 121.2546045503792)",66.66666666666667,33.33333333333333,a agricultural technician photorealistic,3,man,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
